experiment,kind,size,np,max_iters,rep,runtime_sec,objective,row_error,col_error,column_syncs,column_payload_bytes,hostnames,local_rows_by_rank,rank_compute_sec,rank_comm_sec,rank_total_sec,max_rank_compute_sec,max_rank_comm_sec,max_rank_overhead_sec,max_rank_total_sec,min_rank_total_sec,rank_imbalance_pct,json
baseline,mpi,5000,3,50,3,1.8492126260000001,0.1000214549172947,5.004002762338828e-09,5.004002785513649e-09,50,2000000,vmubuntu;VMubuntu;quan,"[1667, 1667, 1666]","[1.14678157, 1.1499364479999992, 0.892693638]","[0.6982402430000002, 0.6989893270000002, 0.9488212090000002]","[1.845269325, 1.8492126260000001, 1.8420498730000001]",1.1499364479999992,0.9488212090000002,0.000535025999999883,1.8492126260000001,1.8420498730000001,0.387340692967993,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_mpi_n5000_np3_iters50_rep3.json
baseline,mpi,5000,3,50,4,1.9745017249999999,0.1000214549172947,5.004002762338828e-09,5.004002785513649e-09,50,2000000,vmubuntu;VMubuntu;quan,"[1667, 1667, 1666]","[1.1693177660000007, 1.145679766, 0.9248274409999999]","[0.7993592150000005, 0.8285478539999991, 1.0446850049999996]","[1.96897374, 1.9745017249999999, 1.970101017]",1.1693177660000007,1.0446850049999996,0.0005885710000004263,1.9745017249999999,1.96897374,0.2799686082826718,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_mpi_n5000_np3_iters50_rep4.json
baseline,seq,6000,1,50,1,5.859907896999999,0.09999779825360905,6.004001594451993e-09,6.004001623047825e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,5.859907896999999,5.859907896999999,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_seq_n6000_iters50_rep1.json
baseline,seq,6000,1,50,2,4.534649477,0.09999779825360905,6.004001594451993e-09,6.004001623047825e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,4.534649477,4.534649477,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_seq_n6000_iters50_rep2.json
baseline,seq,6000,1,50,3,5.054608399,0.09999779825360905,6.004001594451993e-09,6.004001623047825e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,5.054608399,5.054608399,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_seq_n6000_iters50_rep3.json
baseline,seq,6000,1,50,4,6.15331715,0.09999779825360905,6.004001594451993e-09,6.004001623047825e-09,0,0,vmubuntu,[],[],[],[],nan,nan,nan,6.15331715,6.15331715,0.0,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_seq_n6000_iters50_rep4.json
baseline,mpi,6000,3,50,1,2.86628025,0.09999779825359978,6.0040015687835065e-09,6.004001578595536e-09,50,2400000,vmubuntu;VMubuntu;quan,"[2000, 2000, 2000]","[1.9379016380000014, 1.9471449000000014, 1.5596012080000006]","[0.9215515839999995, 0.914593492, 1.3060944420000011]","[2.8606387119999996, 2.86390719, 2.86628025]",1.9471449000000014,1.3060944420000011,0.002168797999998584,2.86628025,2.8606387119999996,0.1968243684475841,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_mpi_n6000_np3_iters50_rep1.json
baseline,mpi,6000,3,50,2,2.6701632060000002,0.09999779825359978,6.0040015687835065e-09,6.004001578595536e-09,50,2400000,vmubuntu;VMubuntu;quan,"[2000, 2000, 2000]","[1.6832347329999997, 1.6309439489999984, 1.358372228000001]","[0.9834340249999995, 1.0389061990000004, 1.3109458929999995]","[2.666977905, 2.6701632060000002, 2.66992993]",1.6832347329999997,1.3109458929999995,0.0006118089999993526,2.6701632060000002,2.666977905,0.1192923710746485,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_mpi_n6000_np3_iters50_rep2.json
baseline,mpi,6000,3,50,3,2.4309274320000003,0.09999779825359978,6.0040015687835065e-09,6.004001578595536e-09,50,2400000,vmubuntu;VMubuntu;quan,"[2000, 2000, 2000]","[1.6437690500000006, 1.6377943750000004, 1.2788434820000003]","[0.7849863009999996, 0.79175924, 1.1515293900000003]","[2.429064514, 2.429871792, 2.4309274320000003]",1.6437690500000006,1.1515293900000003,0.0005545599999996487,2.4309274320000003,2.429064514,0.07663404408858926,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_mpi_n6000_np3_iters50_rep3.json
baseline,mpi,6000,3,50,4,2.4757319769999997,0.09999779825359978,6.0040015687835065e-09,6.004001578595536e-09,50,2400000,vmubuntu;VMubuntu;quan,"[2000, 2000, 2000]","[1.647584993999999, 1.6647063209999995, 1.2755203169999998]","[0.8199850930000002, 0.8106836219999999, 1.1944439909999995]","[2.468041764, 2.4757319769999997, 2.4705367920000003]",1.6647063209999995,1.1944439909999995,0.0005724840000009834,2.4757319769999997,2.468041764,0.31062381030915664,/home/tung/Parallel-Programming-Project/mpi-sinkhorn-step/results/bench_cpp_wifi3_25_26_190_report_suite/baseline_mpi_n6000_np3_iters50_rep4.json
