experiment,size,max_iters,np,rep,rank,local_rows,total_sec,compute_sec,comm_sec,overhead_sec
process_sweep,8000,50,1,1,0,8000,10.691492460000001,10.690343745999998,0.00039572400000675856,0.0007529899999960676
process_sweep,8000,50,1,2,0,8000,10.720208648,10.719200743000005,0.0003872640000046612,0.0006206409999898188
process_sweep,8000,50,1,3,0,8000,8.90375045,8.902833825999998,0.00036941099999932003,0.0005472130000027109
process_sweep,8000,50,2,1,0,4000,6.370606749,5.1511504509999995,1.2188247829999974,0.0006315150000033576
process_sweep,8000,50,2,1,1,4000,6.371512968,5.752122149,0.6184775499999996,0.0009132690000007715
process_sweep,8000,50,2,2,0,4000,7.194880254999999,5.156133607,2.0381695960000044,0.0005770519999948043
process_sweep,8000,50,2,2,1,4000,7.1918856170000005,6.288637955000001,0.9024260590000002,0.0008216029999990049
process_sweep,8000,50,2,3,0,4000,6.893916792,4.623042555999996,2.2693629490000014,0.0015112870000022482
process_sweep,8000,50,2,3,1,4000,6.897977993,6.066124501000002,0.831086149999999,0.0007673419999988385
process_sweep,8000,50,3,1,0,2667,4.515724081,3.193234712999999,1.3218424759999994,0.0006468920000017864
process_sweep,8000,50,3,1,1,2667,4.517272428,3.870197773999999,0.6465558199999992,0.0005188340000019664
process_sweep,8000,50,3,1,2,2666,4.51585991,2.2231580510000004,2.2922820069999976,0.00041985200000160816
process_sweep,8000,50,3,2,0,2667,4.215518905,2.749021456999999,1.466001118999999,0.0004963290000015164
process_sweep,8000,50,3,2,1,2667,4.219037004,3.607258402000001,0.6111130529999975,0.0006655490000009312
process_sweep,8000,50,3,2,2,2666,4.215159797,2.196523833000002,2.0182263199999984,0.0004096439999998758
process_sweep,8000,50,3,3,0,2667,5.02047072,2.7223083019999996,2.297571976000001,0.0005904419999991362
process_sweep,8000,50,3,3,1,2667,5.022667952,4.354958438000002,0.6666995109999995,0.0010100029999980942
process_sweep,8000,50,3,3,2,2666,5.0216879070000005,2.151888654000001,2.869378690000001,0.00042056299999870816
process_sweep,8000,50,4,1,0,2000,3.9685719070000003,2.2911825439999993,1.6768654930000002,0.000523870000000759
process_sweep,8000,50,4,1,1,2000,3.963231195,2.9543291540000003,1.0078010150000003,0.0011010259999995053
process_sweep,8000,50,4,1,2,2000,3.9689831780000002,1.6250249180000016,2.3435820409999986,0.00037621900000006647
process_sweep,8000,50,4,1,3,2000,3.966615128,2.3370259310000017,1.6290598069999982,0.000529390000000074
process_sweep,8000,50,4,2,0,2000,3.841084165,2.0993420859999996,1.7411664649999996,0.0005756140000006127
process_sweep,8000,50,4,2,1,2000,3.839776336,2.9882221529999997,0.8508917840000001,0.0006623990000000912
process_sweep,8000,50,4,2,2,2000,3.8421904089999996,1.623682922999999,2.2180825819999983,0.00042490400000261275
process_sweep,8000,50,4,2,3,2000,3.840107362,2.106047917,1.7335864289999998,0.00047301599999993726
process_sweep,8000,50,4,3,0,2000,4.637254770999999,3.195477019,1.4411902409999982,0.0005875110000010952
process_sweep,8000,50,4,3,1,2000,4.628888153,2.456770087,2.171524180999999,0.0005938850000006823
process_sweep,8000,50,4,3,2,2000,4.632423222,1.6245875079999963,3.0074399470000026,0.0003957670000009905
process_sweep,8000,50,4,3,3,2000,4.625914144,3.150830483,1.4745410450000005,0.0005426159999997182
process_sweep,8000,50,6,1,0,1334,4.771414761000001,1.4504277729999995,3.3205818299999974,0.00040515800000395785
process_sweep,8000,50,6,1,1,1334,4.780463191,1.6785648590000009,3.100657237,0.0012410949999992482
process_sweep,8000,50,6,1,2,1333,4.77422406,1.1984346779999968,3.5752748530000003,0.0005145290000028169
process_sweep,8000,50,6,1,3,1333,4.781211159,1.4444519960000002,3.3363011110000005,0.0004580519999990429
process_sweep,8000,50,6,1,4,1333,4.770716363,1.620477058,3.1496455510000008,0.0005937539999991692
process_sweep,8000,50,6,1,5,1333,4.774376374,1.2125833939999993,3.561203193999999,0.0005897860000017019
process_sweep,8000,50,6,2,0,1334,4.194556512,2.0479444519999994,2.146000968,0.0006110920000006459
