size,rep,variant,seq_key,seq_runtime_s,mpi_runtime_s,mpi_wall_s,speedup,efficiency,comm_mode,kernel_cutoff,sync_every,column_syncs,column_payload_bytes,payload_ratio_vs_double50,seq_iterations,mpi_iterations,mpi_row_error,mpi_col_error,objective_diff_vs_seq
6000,1,float32_comm,dense,5.016459538,3.211786214,4.482902032000311,1.5618908618928398,0.7809454309464199,float32,0,1,50,1200000,0.5,50,50,6.174812291798344e-09,2.9464707829802896e-08,6.455053158660462e-11
6000,1,quantized_comm,dense,5.016459538,3.1348104180000003,4.312278567999783,1.6002433541740257,0.8001216770870129,quantized,0,1,50,1200000,0.5,50,50,1.9987203006490047e-09,1.9763997152248366e-07,1.3588817848741996e-09
6000,1,lazy_sync5,dense,5.016459538,2.580199446,3.8742172849997587,1.9442138652408658,0.9721069326204329,lazy,0,5,10,480000,0.2,50,50,6.000311691630768e-09,6.000311708408796e-09,1.2279066652354231e-13
6000,1,sparse_cutoff025,sparse_cutoff025,14.663660501,8.448537726,9.682281069000055,1.7356447916274595,0.8678223958137298,double,0.25,1,50,2400000,1.0,50,50,6.000660246122244e-09,6.000660252166671e-09,7.549516567451064e-15
6000,2,double_baseline,dense,4.748098757999999,3.625763565,5.197330920999775,1.3095445063859257,0.6547722531929628,double,0,1,50,2400000,1.0,50,50,6.000310251024236e-09,6.000310264874919e-09,1.233457780358549e-13
6000,2,float32_comm,dense,4.748098757999999,3.213031214,4.415752698000688,1.4777630348909518,0.7388815174454759,float32,0,1,50,1200000,0.5,50,50,6.174812291798344e-09,2.9464707829802896e-08,6.455053158660462e-11
6000,2,quantized_comm,dense,4.748098757999999,3.2884934820000002,4.574625785000535,1.443852263654874,0.721926131827437,quantized,0,1,50,1200000,0.5,50,50,1.9987203006490047e-09,1.9763997152248366e-07,1.3588817848741996e-09
6000,2,lazy_sync5,dense,4.748098757999999,2.683419997,3.9128139370004646,1.769420651000686,0.884710325500343,lazy,0,5,10,480000,0.2,50,50,6.000311691630768e-09,6.000311708408796e-09,1.2279066652354231e-13
6000,2,sparse_cutoff025,sparse_cutoff025,14.509139749,8.330273632,10.271363759999986,1.741736273015623,0.8708681365078115,double,0.25,1,50,2400000,1.0,50,50,6.000660246122244e-09,6.000660252166671e-09,7.549516567451064e-15
6000,3,double_baseline,dense,4.7595890810000006,3.574658684,6.451148196000759,1.331480709558004,0.665740354779002,double,0,1,50,2400000,1.0,50,50,6.000310251024236e-09,6.000310264874919e-09,1.233457780358549e-13
